source_id,source,kind,role,owner_agent,leased_skill,waves,mission_use,installed_in_cnc_runtime,lease_status,runtime_install
UP-01,Panniantong/Agent-Reach,UPSTREAM_METHOD,retrieval routing,Evidence Retrieval Planner,retrieval-routing,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 24: Route Wiki/file/code/runtime evidence for contract gaps; fallback without single-tool dependency,NO,CLOSED,NO
UP-02,HKUDS/RAG-Anything,UPSTREAM_METHOD,multimodal RAG,Multimodal Clause Agent,multimodal-relation-preservation,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 24: Preserve drawing/text/table/dimension relationships for future scenario ingestion,NO,CLOSED,NO
UP-03,yoanbernabeu/grepai,UPSTREAM_METHOD,semantic code search,Guard Census Agent,semantic-code-trace,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 24: Trace parser, range validator, lifecycle gates and all callers before patch",NO,CLOSED,NO
UP-04,DeusData/codebase-memory-mcp,UPSTREAM_METHOD,codebase graph memory,Guard Census Agent,codebase-graph,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 24: Map operation→range→candidate→validator→approval dataflow and state ownership,NO,CLOSED,NO
UP-05,qhjqhj00/MemoRAG,UPSTREAM_METHOD,memory-assisted query rewrite,Failure Memory Retriever,memory-clue-rewrite,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 24: Use prior failure clues only to target retrieval; re-ground to current source,NO,CLOSED,NO
UP-06,github/spec-kit,UPSTREAM_METHOD,spec-driven development,Contract Normalizer,spec-first,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 24: Normalize v1 into five-axis v2 contract and executable traceability before code,NO,CLOSED,NO
UP-07,obra/superpowers,UPSTREAM_METHOD,TDD/debug/verification,Regression Implementer,systematic-debug-tdd,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 24: Reproduce RED; implement minimum GREEN; run independent verification,NO,CLOSED,NO
UP-08,HaydenLundin/ultrathink,UPSTREAM_METHOD,assumption challenge,Ontology Breaker,assumption-inversion,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 24: Attack hidden assumptions, feature interactions, range unions and lifecycle state",NO,CLOSED,NO
UP-09,open-gsd/gsd-core,UPSTREAM_METHOD,phase execution,Executive Orchestrator,phase-artifacts,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 24: Freeze→spec→RED→patch→verify→review→memory→cleanup with artifact handoff,NO,CLOSED,NO
UP-10,multica-ai/andrej-karpathy-skills,UPSTREAM_METHOD,surgical implementation,Source-Owner Implementer,surgical-coding,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 24: Patch decimal parsing, range validation and lifecycle owners with minimum diff",NO,CLOSED,NO
UP-11,mattpocock/skills,UPSTREAM_METHOD,small composable tasks,Task Decomposer,bounded-task-design,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 24: Split contract, parser, context, validator, lifecycle, review and Wiki tasks",NO,CLOSED,NO
UP-12,NousResearch/hermes-agent,UPSTREAM_METHOD,failure learning,Controlled Learning Agent,failure-to-rule,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 24: Failure→reproduction→candidate rule→independent review→human approval→regression,NO,CLOSED,NO
UP-13,ruvnet/ruflo,UPSTREAM_METHOD,multi-agent orchestration,Executive Orchestrator,multi-agent-routing,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 24: Keep author, breaker, reviewer, evidence and memory roles separate",NO,CLOSED,NO
UP-14,twilio/twilio-taskrouter.js,UPSTREAM_METHOD,task lifecycle,Lifecycle Gate Agent,task-lifecycle,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 24: Verify CHECK/CONFIRM/RUN state, check_id/epoch idempotency and terminal states",NO,CLOSED,NO
UP-15,arunv3rma/MeMo,UPSTREAM_METHOD,executive-memory split,Evidence Retrieval Planner,executive-memory-protocol,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 24: Decompose evidence queries and reconcile contradictions before synthesis,NO,CLOSED,NO
UP-16,thedotmack/claude-mem,UPSTREAM_METHOD,cross-session progressive disclosure,Failure Memory Retriever,session-memory-search,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 24: Progressive-disclosure retrieval of prior decimal/datum/order failures,NO,CLOSED,NO
